ng10404
==== Sun 28 Sep 2025 05:50:40 AM EDT | job 50270418 | node ng10404 ====
model= instance= sa_anneal=
SLURM_JOB_GPUS=3
CUDA_VISIBLE_DEVICES=0
0, GPU-a1cb2874-5c0a-2cc9-5d8b-75d2699776e2, NVIDIA A100-SXM4-40GB
=== KL-controlled VCA (IG-2) start ===
[cfg] T0=2  T_min=0.001  delta_kl=1.000e-02  mode=fo+so  inner_steps=10  w_clip=1000000.0  B_est=128  B_train=128
[0040] T=1.3347 -> 1.3199  ΔT=-1.486e-02  (FO=-1.486e-02, SO=-1.510e-01) | E_p: mean=33.8363 min=29.6339 max=38.2221 | E_π̂=32.6377  ΔÊ=1.19858  Var_π̂=2.78461  ζ̂=0.877338 | ESS=58.1 (45.4%)  S≈204.789 -> 204.85 | F(λ;T): -239.505 -> F(λ;T_next): -236.326 | grad_norm≈2.84
[0041] T=1.3199 -> 1.3072  ΔT=-1.268e-02  (FO=-1.268e-02, SO=-1.484e-01) | E_p: mean=33.9079 min=29.4698 max=38.6687 | E_π̂=32.534  ΔÊ=1.37395  Var_π̂=2.75509  ζ̂=0.907807 | ESS=48.2 (37.6%)  S≈204.833 -> 204.698 | F(λ;T): -236.448 -> F(λ;T_next): -233.755 | grad_norm≈3.32
[0042] T=1.3072 -> 1.2934  ΔT=-1.383e-02  (FO=-1.383e-02, SO=-1.542e-01) | E_p: mean=33.8698 min=29.7124 max=40.1604 | E_π̂=32.634  ΔÊ=1.23575  Var_π̂=2.45511  ζ̂=0.840808 | ESS=64.0 (50.0%)  S≈204.899 -> 204.671 | F(λ;T): -233.975 -> F(λ;T_next): -230.799 | grad_norm≈3.41
[0043] T=1.2934 -> 1.2819  ΔT=-1.149e-02  (FO=-1.149e-02, SO=-1.429e-01) | E_p: mean=33.6825 min=28.7771 max=38.3331 | E_π̂=32.2267  ΔÊ=1.45586  Var_π̂=2.74179  ζ̂=0.979793 | ESS=52.7 (41.2%)  S≈204.745 -> 204.597 | F(λ;T): -231.13 -> F(λ;T_next): -228.905 | grad_norm≈3.85
[0044] T=1.2819 -> 1.2669  ΔT=-1.500e-02  (FO=-1.500e-02, SO=-1.547e-01) | E_p: mean=33.7594 min=30.0241 max=37.6232 | E_π̂=32.6642  ΔÊ=1.0952  Var_π̂=2.25737  ζ̂=0.835998 | ESS=40.2 (31.4%)  S≈204.695 -> 204.715 | F(λ;T): -228.636 -> F(λ;T_next): -225.582 | grad_norm≈3.25
[0045] T=1.2669 -> 1.2592  ΔT=-7.694e-03  (FO=-7.694e-03, SO=-1.224e-01) | E_p: mean=33.8651 min=29.4348 max=37.7836 | E_π̂=31.7791  ΔÊ=2.08599  Var_π̂=3.43825  ζ̂=1.33472 | ESS=19.8 (15.4%)  S≈204.752 -> 204.635 | F(λ;T): -225.532 -> F(λ;T_next): -223.919 | grad_norm≈2.11
[0046] T=1.2592 -> 1.2506  ΔT=-8.588e-03  (FO=-8.588e-03, SO=-1.357e-01) | E_p: mean=33.7299 min=29.8816 max=39.2386 | E_π̂=31.8836  ΔÊ=1.84628  Var_π̂=2.7309  ζ̂=1.08628 | ESS=32.9 (25.7%)  S≈204.7 -> 204.832 | F(λ;T): -224.026 -> F(λ;T_next): -222.245 | grad_norm≈2.25
[0047] T=1.2506 -> 1.2398  ΔT=-1.080e-02  (FO=-1.080e-02, SO=-1.307e-01) | E_p: mean=33.633 min=28.861 max=39.0175 | E_π̂=32.1848  ΔÊ=1.44819  Var_π̂=2.86368  ζ̂=1.17071 | ESS=52.6 (41.1%)  S≈204.65 -> 204.911 | F(λ;T): -222.303 -> F(λ;T_next): -220.129 | grad_norm≈2.21
[0048] T=1.2398 -> 1.2308  ΔT=-9.011e-03  (FO=-9.011e-03, SO=-1.242e-01) | E_p: mean=33.8993 min=28.9022 max=37.9416 | E_π̂=32.1935  ΔÊ=1.70577  Var_π̂=3.06159  ζ̂=1.29581 | ESS=50.1 (39.1%)  S≈204.875 -> 204.685 | F(λ;T): -220.105 -> F(λ;T_next): -218.293 | grad_norm≈2.21
[0049] T=1.2308 -> 1.2172  ΔT=-1.363e-02  (FO=-1.363e-02, SO=-1.438e-01) | E_p: mean=33.629 min=29.5271 max=38.7275 | E_π̂=32.5172  ΔÊ=1.11176  Var_π̂=2.22074  ζ̂=0.967746 | ESS=54.2 (42.3%)  S≈204.587 -> 204.541 | F(λ;T): -218.175 -> F(λ;T_next): -215.379 | grad_norm≈2.45
[0050] T=1.2172 -> 1.2046  ΔT=-1.253e-02  (FO=-1.253e-02, SO=-1.181e-01) | E_p: mean=33.5164 min=29.2113 max=37.3812 | E_π̂=32.3343  ΔÊ=1.18213  Var_π̂=3.14614  ζ̂=1.43345 | ESS=50.2 (39.2%)  S≈204.609 -> 204.468 | F(λ;T): -215.527 -> F(λ;T_next): -213.087 | grad_norm≈2.75
[0051] T=1.2046 -> 1.1934  ΔT=-1.120e-02  (FO=-1.120e-02, SO=-1.116e-01) | E_p: mean=33.2546 min=28.5602 max=37.3205 | E_π̂=31.9594  ΔÊ=1.2952  Var_π̂=3.38048  ζ̂=1.60532 | ESS=31.5 (24.6%)  S≈204.54 -> 204.356 | F(λ;T): -213.141 -> F(λ;T_next): -210.924 | grad_norm≈2.46
[0052] T=1.1934 -> 1.1834  ΔT=-1.000e-02  (FO=-1.000e-02, SO=-1.116e-01) | E_p: mean=32.959 min=28.4767 max=38.1509 | E_π̂=31.5349  ΔÊ=1.42415  Var_π̂=3.25822  ζ̂=1.60619 | ESS=50.3 (39.3%)  S≈204.466 -> 204.346 | F(λ;T): -211.056 -> F(λ;T_next): -208.957 | grad_norm≈3.29
[0053] T=1.1834 -> 1.1691  ΔT=-1.436e-02  (FO=-1.436e-02, SO=-1.098e-01) | E_p: mean=33.0932 min=28.802 max=37.7217 | E_π̂=32.1182  ΔÊ=0.975018  Var_π̂=3.25557  ζ̂=1.65982 | ESS=59.9 (46.8%)  S≈204.536 -> 204.091 | F(λ;T): -208.96 -> F(λ;T_next): -206.19 | grad_norm≈3.27
[0054] T=1.1691 -> 1.1467  ΔT=-2.239e-02  (FO=-2.239e-02, SO=-1.082e-01) | E_p: mean=32.6 min=27.9943 max=37.2885 | E_π̂=31.9895  ΔÊ=0.61054  Var_π̂=3.19338  ζ̂=1.70962 | ESS=65.4 (51.1%)  S≈204.131 -> 204.139 | F(λ;T): -206.042 -> F(λ;T_next): -201.622 | grad_norm≈4.21
[0055] T=1.1467 -> 1.1183  ΔT=-2.835e-02  (FO=-2.835e-02, SO=-1.072e-01) | E_p: mean=32.5713 min=27.7534 max=37.3456 | E_π̂=32.1075  ΔÊ=0.46386  Var_π̂=3.00614  ζ̂=1.73878 | ESS=71.6 (55.9%)  S≈204.139 -> 204.273 | F(λ;T): -201.51 -> F(λ;T_next): -195.658 | grad_norm≈4.96
[0056] T=1.1183 -> 1.1049  ΔT=-1.345e-02  (FO=-1.345e-02, SO=-8.478e-02) | E_p: mean=32.5592 min=24.7045 max=36.7242 | E_π̂=31.6295  ΔÊ=0.92976  Var_π̂=4.35209  ζ̂=2.78237 | ESS=76.5 (59.8%)  S≈203.964 -> 204.094 | F(λ;T): -195.54 -> F(λ;T_next): -192.974 | grad_norm≈3.55
[0057] T=1.1049 -> 1.0595  ΔT=-4.535e-02  (FO=-4.535e-02, SO=-1.105e-01) | E_p: mean=32.4824 min=27.8431 max=36.2881 | E_π̂=32.2132  ΔÊ=0.269196  Var_π̂=2.44222  ζ̂=1.6388 | ESS=81.2 (63.4%)  S≈204.117 -> 203.862 | F(λ;T): -193.042 -> F(λ;T_next): -183.757 | grad_norm≈11.2
[0058] T=1.0595 -> 1.0464  ΔT=-1.317e-02  (FO=-1.317e-02, SO=-8.242e-02) | E_p: mean=32.281 min=26.8871 max=36.5057 | E_π̂=31.4289  ΔÊ=0.852161  Var_π̂=3.71057  ζ̂=2.94432 | ESS=56.1 (43.8%)  S≈203.885 -> 203.805 | F(λ;T): -183.742 -> F(λ;T_next): -180.91 | grad_norm≈4.49
[0059] T=1.0464 -> 1.0314  ΔT=-1.496e-02  (FO=-1.496e-02, SO=-8.425e-02) | E_p: mean=32.5506 min=27.3078 max=36.3408 | E_π̂=31.8189  ΔÊ=0.731728  Var_π̂=3.37756  ζ̂=2.81762 | ESS=68.7 (53.7%)  S≈203.898 -> 204.113 | F(λ;T): -180.8 -> F(λ;T_next): -178.043 | grad_norm≈4.37
[0060] T=1.0314 -> 1.0199  ΔT=-1.149e-02  (FO=-1.149e-02, SO=-7.583e-02) | E_p: mean=32.119 min=26.2321 max=35.9509 | E_π̂=31.1932  ΔÊ=0.925791  Var_π̂=3.93572  ζ̂=3.47796 | ESS=58.5 (45.7%)  S≈203.792 -> 204.137 | F(λ;T): -178.072 -> F(λ;T_next): -175.661 | grad_norm≈3.3
[0061] T=1.0199 -> 1.0061  ΔT=-1.384e-02  (FO=-1.384e-02, SO=-8.338e-02) | E_p: mean=32.254 min=27.3617 max=36.4373 | E_π̂=31.5023  ΔÊ=0.751675  Var_π̂=3.11254  ζ̂=2.87658 | ESS=67.1 (52.4%)  S≈203.779 -> 204.032 | F(λ;T): -175.581 -> F(λ;T_next): -172.836 | grad_norm≈3.15
[0062] T=1.0061 -> 0.99194  ΔT=-1.412e-02  (FO=-1.412e-02, SO=-7.388e-02) | E_p: mean=32.3918 min=27.7096 max=36.4357 | E_π̂=31.675  ΔÊ=0.716774  Var_π̂=3.7538  ζ̂=3.66408 | ESS=71.1 (55.6%)  S≈203.867 -> 203.904 | F(λ;T): -172.711 -> F(λ;T_next): -169.938 | grad_norm≈3.59
[0063] T=0.99194 -> 0.98044  ΔT=-1.151e-02  (FO=-1.151e-02, SO=-7.765e-02) | E_p: mean=32.1314 min=27.7737 max=36.5098 | E_π̂=31.2764  ΔÊ=0.854965  Var_π̂=3.21113  ζ̂=3.31671 | ESS=70.6 (55.1%)  S≈203.814 -> 203.844 | F(λ;T): -170.041 -> F(λ;T_next): -167.759 | grad_norm≈2.71
[0064] T=0.98044 -> 0.95883  ΔT=-2.161e-02  (FO=-2.161e-02, SO=-9.230e-02) | E_p: mean=32.1668 min=28.422 max=37.9529 | E_π̂=31.7219  ΔÊ=0.444868  Var_π̂=2.16911  ζ̂=2.34749 | ESS=75.8 (59.2%)  S≈203.879 -> 203.816 | F(λ;T): -167.724 -> F(λ;T_next): -163.228 | grad_norm≈4.19
[0065] T=0.95883 -> 0.94025  ΔT=-1.858e-02  (FO=-1.858e-02, SO=-7.679e-02) | E_p: mean=31.841 min=26.89 max=35.454 | E_π̂=31.3462  ΔÊ=0.494757  Var_π̂=2.86707  ζ̂=3.39215 | ESS=74.1 (57.9%)  S≈203.6 -> 203.578 | F(λ;T): -163.376 -> F(λ;T_next): -159.54 | grad_norm≈4.1
